"text","favorited","favoriteCount","replyToSN","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"https://t.co/qPjuQQ5XHq",FALSE,291,NA,FALSE,NA,"1143444483603718144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DRUDGE_REPORT",197,FALSE,FALSE,NA,NA
"APPLE scrambles... https://t.co/jEUlOh8L38",FALSE,544,NA,FALSE,NA,"1090130411420758016",NA,"<a href=""http://drudge.tw"" rel=""nofollow"">Drudge</a>","DRUDGE_REPORT",524,FALSE,FALSE,NA,NA
"Medicines set to be prioritized over food in crisis... https://t.co/aqaguDZW48",FALSE,176,NA,FALSE,NA,"1090121585141284866",NA,"<a href=""http://drudge.tw"" rel=""nofollow"">Drudge</a>","DRUDGE_REPORT",161,FALSE,FALSE,NA,NA
"Judge to allow controversial evidence in ROUNDUP cancer trials... https://t.co/kpmJ1HcKbB",FALSE,209,NA,FALSE,NA,"1090120317798735872",NA,"<a href=""http://drudge.tw"" rel=""nofollow"">Drudge</a>","DRUDGE_REPORT",185,FALSE,FALSE,NA,NA
"HIV Status of More Than 14,000 People Leaked in Data Breach... https://t.co/rw4q8XZ0TA",FALSE,109,NA,FALSE,NA,"1090120315273764865",NA,"<a href=""http://drudge.tw"" rel=""nofollow"">Drudge</a>","DRUDGE_REPORT",134,FALSE,FALSE,NA,NA
"GENERATION OF WEB ADDICTS... https://t.co/ruRKqlniC3",FALSE,362,NA,FALSE,NA,"1090120312966963200",NA,"<a href=""http://drudge.tw"" rel=""nofollow"">Drudge</a>","DRUDGE_REPORT",357,FALSE,FALSE,NA,NA
"Brexit plots and passions split UK parliament... https://t.co/O0AOEAegbH",FALSE,77,NA,FALSE,NA,"1090119046073180160",NA,"<a href=""http://drudge.tw"" rel=""nofollow"">Drudge</a>","DRUDGE_REPORT",67,FALSE,FALSE,NA,NA
"Maduro seeks talks with Trump... https://t.co/JE05RkMzZn",FALSE,180,NA,FALSE,NA,"1090119042323558402",NA,"<a href=""http://drudge.tw"" rel=""nofollow"">Drudge</a>","DRUDGE_REPORT",156,FALSE,FALSE,NA,NA
"Rams ace taunts Brady over age ahead of Super Bowl...  https://t.co/jHLQudIaLs",FALSE,63,NA,FALSE,NA,"1090117771860500480",NA,"<a href=""http://drudge.tw"" rel=""nofollow"">Drudge</a>","DRUDGE_REPORT",43,FALSE,FALSE,NA,NA
"Chinese activist jailed for five years... https://t.co/UsOrfh3RAu",FALSE,68,NA,FALSE,NA,"1090117763526320128",NA,"<a href=""http://drudge.tw"" rel=""nofollow"">Drudge</a>","DRUDGE_REPORT",75,FALSE,FALSE,NA,NA
"He broke Rand Paul's ribs. Now jury will decide how much he should pay... https://t.co/TiwXskDC60",FALSE,729,NA,FALSE,NA,"1090115225074855936",NA,"<a href=""http://drudge.tw"" rel=""nofollow"">Drudge</a>","DRUDGE_REPORT",354,FALSE,FALSE,NA,NA
