"whichDataset","sentiment","text"
"Obama",3,"I'm grateful to @SenJohnMcCain for his lifetime of service to our country. Congratulations, John, on receiving this year's Liberty Medal."
"Obama",-2,"Michelle &amp; I are praying for the victims in Las Vegas. Our thoughts are with their families &amp; everyone enduring another senseless tragedy."
"Obama",3,"Proud to cheer on Team USA at the Invictus Games today with my friend Joe. You represent the best of our country. https://t.co/WBzcltmgqj"
"Obama",1,"We're expanding our efforts to help Puerto Rico &amp; the USVI, where our fellow Americans need us right now. Join us a‰Û_ https://t.co/gkrp1RwXR4"
"Obama",1,"Prosecutor, soldier, family man, citizen. Beau made us want to be better. What a legacy to leave. What a testament‰Û_ https://t.co/XDtkLu32wd"
"Obama",0,"RT @gatesfoundation: President @BarackObama addresses #Goalkeepers17 starting at 12:40 PM. Tune in here: https://t.co/XmHBErSHYw"
"Obama",0,"Thinking about our neighbors in Mexico and all our Mexican-American friends tonight. Cuidense mucho y un fuerte abrazo para todos."
"Obama",3,"Coding is important ‰ÛÒ and fun. @CSforAll, thanks for your work to make sure every kid can compete in a high-tech, g‰Û_ https://t.co/xwlnvxsjKb"
"Obama",2,"Michelle and I want the @ObamaFoundation to inspire and empower people to change the world. Here's how we're gettin‰Û_ https://t.co/xY0UhBSvqp"
"Obama",-1,"We remember everyone we lost on 9/11 and honor all who defend our country and our ideals. No act of terror will ever change who we are."
"Obama",1,"RT @GeorgeHWBush: Across the U.S., Americans have answered the call to help with hurricane recovery. Praying for all Floridians. #Irma http‰Û_"
"Obama",2,"Proud of these McKinley Tech students‰ÛÓinspiring young minds that make me hopeful about our future. https://t.co/nqYC1mjjTB"
"Obama",0,"Americans always answer the call. https://t.co/SV1jixOExu https://t.co/ktEvL6s89d"
"Obama",-1,"To target hopeful young strivers who grew up here is wrong, because they‰Ûªve done nothing wrong. My statement: https://t.co/TCxZdld7L4"
"Obama",2,"Thank you to all the first responders and people helping each other out. That's what we do as Americans. Here's one‰Û_ https://t.co/I3RHWyZe31"
"Obama",0,"Michelle and I are thinking of the victims and their families in Barcelona. Americans will always stand with our Spanish friends. Un abrazo."
"Obama",1,"""...For love comes more naturally to the human heart than its opposite."" - Nelson Mandela"
"Obama",-1,"""People must learn to hate, and if they can learn to hate, they can be taught to love..."""
"Obama",-1,"""No one is born hating another person because of the color of his skin or his background or his religion..."" https://t.co/InZ58zkoAm"
"Obama",-1,"John McCain is an American hero &amp; one of the bravest fighters I've ever known. Cancer doesn't know what it's up against. Give it hell, John."
"Obama",0,"Health care has always been about something bigger than politics: it's about the character of our country. https://t.co/UqLO14Hef7"
"Obama",3,"Of all that I've done in my life, I'm most proud to be Sasha and Malia's dad. To all those lucky enough to be a dad‰Û_ https://t.co/XSqMhcSuvR"
